Method,Threshold,Accuracy,Precision_pos1,Recall_pos1,F1_pos1,F1_macro,MCC,TP,FP,FN,TN,Pred_pos,Pred_neg,Pred_pos_rate,SelectionNote
BestAccuracy_cutoff,-0.013126373,0.8586916798635644,0.8211624441132638,0.9233899928178119,0.869281045751634,0.8577582323137809,0.722512593526938,3857,840,320,3192,4697,3512,0.5721768790352053,ok
BestF1macro_cutoff,-0.013126373,0.8586916798635644,0.8211624441132638,0.9233899928178119,0.869281045751634,0.8577582323137809,0.722512593526938,3857,840,320,3192,4697,3512,0.5721768790352053,ok
BestMCC_cutoff,-0.013898015,0.8571080521378974,0.8060309698451508,0.9470912137898013,0.8708860759493671,0.8554621297515825,0.7248946708492934,3956,952,221,3080,4908,3301,0.5978803751979535,ok
BestF1_cutoff,-0.013898015,0.8571080521378974,0.8060309698451508,0.9470912137898013,0.8708860759493671,0.8554621297515825,0.7248946708492934,3956,952,221,3080,4908,3301,0.5978803751979535,ok
