assay,n_cells,n_pos,n_neg,metrics_file,plot_file,pred_file,note
10x 3' v2,8962,4930,4032,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v2/evaluation_metric.csv,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v2/roc_pr_curves.png,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v2/pred_with_meta.csv,ok
10x 3' v3,8209,4177,4032,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v3/evaluation_metric.csv,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v3/roc_pr_curves.png,/data1011/yuzimu/M2ASDA/metrix/phase1_metrix_by_assay/10x_3_v3/pred_with_meta.csv,ok
