eval_name,assay_value,macro_f1_detection,ari_on_tp_intersection,macro_f1_x_ari,n_total,n_true_asc,n_pred_asc,n_tp_for_ari,TP,FP,FN,TN,true_subtypes,subtype_csv,pred_to_true_mapping
assay_10x_3_v2,10x 3' v2,0.8504117032979093,0.019724865021945846,0.01677425606063432,8962,4930,4935,4269,4269,666,661,3366,tumor02_MMRd|tumor02_MMRp,/data1011/yuzimu/M2ASDA/output/subtype_by_assay/subtype_10x_3'_v2.csv,1.0->tumor02_MMRd; 0.0->tumor02_MMRp
assay_10x_3_v3,10x 3' v3,0.8961614899290942,0.8716333954943025,0.7811242823781296,8209,4177,4686,4008,4008,678,169,3354,tumor02_MMRd|tumor02_MMRp,/data1011/yuzimu/M2ASDA/output/subtype_by_assay/subtype_10x_3'_v3.csv,1.0->tumor02_MMRd; 0.0->tumor02_MMRp
cross_assay_all,all,0.8723415543406292,0.6393743078540594,0.5577527775188741,17171,9107,9621,8277,8277,1344,830,6720,tumor02_MMRd|tumor02_MMRp,/data1011/yuzimu/M2ASDA/output/subtype_aligned/subtype_all.csv,0.0->tumor02_MMRd; 1.0->tumor02_MMRp
