Method,Threshold,Accuracy,Precision_pos1,Recall_pos1,F1_pos1,F1_macro,MCC,TP,FP,FN,TN,Pred_pos,Pred_neg,Pred_pos_rate,SelectionNote
BestAccuracy_cutoff,-0.0141041875,0.7727069850479804,0.757613535173642,0.8628803245436105,0.8068278805120911,0.765387107351858,0.5402736464707216,4254,1361,676,2671,5615,3347,0.6265342557464851,ok
BestF1macro_cutoff,-0.013831198,0.7723722383396563,0.7614911328266377,0.8535496957403651,0.8048967100229534,0.7658656019316695,0.5388724440181655,4208,1318,722,2714,5526,3436,0.6166034367328721,ok
BestMCC_cutoff,-0.014359951,0.7722606561035483,0.7531102155247941,0.8718052738336713,0.8081225909560966,0.7640173816589184,0.540339408746272,4298,1409,632,2623,5707,3255,0.6367998214684222,ok
BestF1_cutoff,-0.0156136155,0.7654541397009597,0.7319553805774278,0.9050709939148073,0.8093596952657355,0.7523168438636593,0.5331270848395919,4462,1634,468,2398,6096,2866,0.6802053113144387,ok
