Method,Threshold,Accuracy,Precision_pos1,Recall_pos1,F2_pos1,F1_macro,MCC,TP,FP,FN,TN,Pred_pos,Pred_neg,Pred_pos_rate,SelectionNote
GMM_label,,0.14111001106516802,0.17100198296978888,0.1609750741188097,0.16288526921623964,0.14035463413918792,-0.719019969889251,1466,7107,7641,957,8573,8598,0.4992720284200105,original_label_from_csv
BestAccuracy_cutoff,-0.00082939863,0.8726340923650341,0.8454472843450479,0.9298341934775447,0.9116355180432346,0.8709665737936734,0.7469486555691109,8468,1548,639,6516,10016,7155,0.5833090676140004,ok
BestF1macro_cutoff,-0.0008043647,0.8724011414594374,0.851565677104514,0.9197320742286154,0.905239495071762,0.8710276279157212,0.7452641585337398,8376,1460,731,6604,9836,7335,0.5728262768621513,ok
BestMCC_cutoff,-0.00083631277,0.8724011414594374,0.8433962264150944,0.9325793345777973,0.9132650866703944,0.8706355689267495,0.74690783180413,8493,1577,614,6487,10070,7101,0.5864539048395551,ok
ConstrainedPrecision_cutoff,-0.00051498413,0.7699027429969134,0.9359147784917146,0.6077742395959153,0.6536063483066458,0.7662378616833592,0.5889789292341499,5535,379,3572,7685,5914,11257,0.3444179139246404,ok
ConstrainedF2_cutoff,-0.001214683,0.8347795702055791,0.7687296416938111,0.9847370154825958,0.9323408325362831,0.8271744847054519,0.6952579018397329,8968,2698,139,5366,11666,5505,0.6794013161726167,ok
